"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"MK20DX128VLH5";"MK20DX128VLH5";"MK20DX128VLH5";"U601";"Teensy 3.0 Processing Unit - MK20DX128VLH5 ARM Cortex M0";"";
"1";"MKL02Z32VFG4";"MKL02Z32VFG4";"QFN16-3X3";"IC601";"";"";
"1";"MOTOR10MM";"MOTOR10MM";"VIBE-MOTOR-10MM";"MOTOR401";"Vibration Motor- ROB-08449";"";
"5";"NEOPIXEL_NANO_2427";"NEOPIXEL_NANO_2427";"SK6805-2427";"LED801, LED802, LED803, LED804, LED805";"";"";
"1";"NVR4003NT3G";"MOSFET-NREFLOW";"SOT23";"Q402";"N-Channel Mosfet";"";
"2";"PCA9534PW";"PCA9534PW";"TSSOP16";"IC501, IC801";"8-bit I2C-bus and SMBus low power I/O port with interrupt";"";
"1";"PEC09";"PEC09";"PEC09-2X20X-TXXXX";"SW806";"Bourns low-profile rotary encoders";"";
"2";"SI2333DS-T1-E3";"MOSFET-PCHANNELSMD";"SOT23-3";"Q201, Q202";"Generic PMOSFET";"";
"4";"SINGULARITRON_CART_BASE";"SINGULARITRON_CART_BASE";"SINGULARITRON_CART_BASE";"JP501, JP502, JP503, JP504";"";"";
"5";"TACTILE_SWITCHTL3301-G";"TACTILE_SWITCHTL3301-G";"TL3301-X-FXXX-X-G";"SW801, SW802, SW803, SW804, SW805";"";"";
